id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4875927,Zimmer in charmanten Wiener Altbau.,25084654,Lisa,,Leopoldstadt,48.22181,16.38817,Private room,34,12,0,,,1,0,0,
4907512,Graf Sobieski Apart Studio Apart 4,7147147,Emmanuel,,Alsergrund,48.23087,16.35324,Entire home/apt,104,1,2,2022-02-23,0.02,22,180,1,
4911627,Cosy 2roomApartmt near Stadthalle,25292615,Clarissa,,Rudolfsheim-Fnfhaus,48.19938,16.33361,Entire home/apt,200,3,0,,,1,365,0,
4876659,Apartment 1 minute from State Opera,25087787,Elen,,Innere Stadt,48.20111,16.36747,Entire home/apt,115,2,6,2015-11-29,0.07,1,0,0,
4876670,Vintagehome: Provence Suite by Schönbrunn,24403804,Danny,,Rudolfsheim-Fnfhaus,48.18803,16.32548,Entire home/apt,115,1,40,2022-06-14,0.46,7,98,5,
5404640,cosy loft 10min to city center,5249046,Verena,,Wieden,48.19021,16.37295,Entire home/apt,65,2,109,2020-02-09,1.23,1,0,0,
4915716,Trendy 7th district,25300586,Kilian,,Neubau,48.19991,16.35385,Entire home/apt,69,3,389,2022-08-28,4.15,2,121,60,
5412411,CONTEMPORARY APARTMENT IN GRINZING,13680291,Stefanie,,Dbling,48.25694,16.34275,Entire home/apt,80,2,52,2021-10-18,0.57,1,0,1,
4918549,Central Eco Lodge,25333071,Irma,,Neubau,48.20361,16.3461,Private room,29,2,48,2020-02-29,0.53,2,0,0,
5418530,Great 360° Panoramic City Roof Deck with Whirlpool,28091107,Dominic,,Alsergrund,48.22429,16.36727,Private room,114,2,0,,,1,0,0,
4928101,"Lovely Shared Room, next to Metros",24173707,Evan,,Dbling,48.23287,16.35393,Shared room,20,1,27,2016-07-08,0.29,2,0,0,
5420466,Wohnung direkt bei Stadthalle (ESC),28100953,Alexander,,Rudolfsheim-Fnfhaus,48.20087,16.3307,Entire home/apt,180,1,0,,,1,0,0,
4930012,"Best Location of Vienna, in old Town",25396536,Gece Han,,Mariahilf,48.20038,16.36221,Entire home/apt,150,3,311,2022-08-20,3.58,1,176,16,
5442417,Beautiful apartment in quiet area,3050277,Florian,,Hernals,48.2167,16.33067,Entire home/apt,100,3,3,2016-03-31,0.03,1,0,0,
4964929,Spacious Old Style Appartement in Perfect Location,4608935,Christoph,,Mariahilf,48.19974,16.36036,Entire home/apt,165,2,51,2022-08-09,0.89,1,314,5,
5455877,Songcontest Appartment,20328424,Lukas,,Rudolfsheim-Fnfhaus,48.19392,16.32045,Entire home/apt,135,1,0,,,1,0,0,
4970887,Living at the Park,6571299,Jochen,,Margareten,48.19168,16.35766,Entire home/apt,150,30,24,2016-07-31,0.26,4,0,0,
